0.044	-0.3	0.73648	0.81797	--
0.044	-0.25	0.73577	0.8182	--
0.044	-0.2	0.73517	0.81835	--
0.044	-0.15	0.73469	0.81844	--
0.044	-0.1	0.73435	0.81849	--
0.044	-0.05	0.73415	0.81852	--
0.044	0	0.73408	0.81852	--
0.044	0.05	0.73415	0.81852	--
0.044	0.1	0.73435	0.81849	--
0.044	0.15	0.73469	0.81844	--
0.044	0.2	0.73517	0.81835	--
0.044	0.25	0.73577	0.8182	--
0.044	0.3	0.73648	0.81797	--
0.044	0.35	0.73731	0.81765	--
0.044	0.4	0.73823	0.81722	--
0.044	0.45	0.73924	0.8167	--
0.044	0.5	0.7403	0.81607	--
0.044	0.55	0.74141	0.81535	--
0.044	0.6	0.74253	0.81457	--
0.044	0.65	0.74364	0.81374	--
0.044	0.7	0.7447	0.81291	--
0.044	0.75	0.74568	0.81211	--
0.044	0.8	0.74655	0.81138	--
0.044	0.85	0.74727	0.81076	--
0.044	0.9	0.74781	0.81029	--
0.044	0.95	0.74815	0.80999	--
0.044	1	0.74826	0.80989	--
0.048	-1	0.74783	0.80909	--
0.048	-0.95	0.74772	0.80917	--
0.048	-0.9	0.74739	0.80942	--
0.048	-0.85	0.74687	0.8098	--
0.048	-0.8	0.74617	0.8103	--
0.048	-0.75	0.74532	0.81087	--
0.048	-0.7	0.74436	0.81147	--
0.048	-0.65	0.74332	0.81207	--
0.048	-0.6	0.74224	0.81263	--
0.048	-0.55	0.74115	0.81312	--
0.048	-0.5	0.74007	0.8135	--
0.048	-0.45	0.73903	0.81377	--
0.048	-0.4	0.73806	0.81392	--
0.048	-0.35	0.73716	0.81396	--
0.048	-0.3	0.73636	0.81389	--
0.048	-0.25	0.73567	0.81375	--
0.048	-0.2	0.73509	0.81356	--
0.048	-0.15	0.73463	0.81337	--
0.048	-0.1	0.7343	0.8132	--
0.048	-0.05	0.7341	0.81309	--
0.048	0	0.73404	0.81305	--
0.048	0.05	0.7341	0.81309	--
0.048	0.1	0.7343	0.8132	--
0.048	0.15	0.73463	0.81337	--
0.048	0.2	0.73509	0.81356	--
0.048	0.25	0.73567	0.81375	--
0.048	0.3	0.73636	0.81389	--
0.048	0.35	0.73716	0.81396	--
0.048	0.4	0.73806	0.81392	--
0.048	0.45	0.73903	0.81377	--
0.048	0.5	0.74007	0.8135	--
0.048	0.55	0.74115	0.81312	--
0.048	0.6	0.74224	0.81263	--
0.048	0.65	0.74332	0.81207	--
0.048	0.7	0.74436	0.81147	--
0.048	0.75	0.74532	0.81087	--
0.048	0.8	0.74617	0.8103	--
0.048	0.85	0.74687	0.8098	--
0.048	0.9	0.74739	0.80942	--
0.048	0.95	0.74772	0.80917	--
0.048	1	0.74783	0.80909	--
0.052	-1	0.74751	0.80849	--
0.052	-0.95	0.7474	0.80856	--
0.052	-0.9	0.74708	0.80876	--
0.052	-0.85	0.74656	0.80907	--
0.052	-0.8	0.74587	0.80946	--
0.052	-0.75	0.74504	0.80989	--
0.052	-0.7	0.7441	0.81032	--
0.052	-0.65	0.74308	0.81072	--
