-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-1	3.95011	4.50382	5.29963	7.28365	6.24568	7.38998	7.70019	8.19113	8.37945	8.83272	3.95011
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.95	3.77282	4.34916	5.16884	7.18904	6.13509	7.29676	7.61076	8.10712	8.29735	8.75487	
-0.9	3.59656	4.19717	5.04162	7.09812	6.02829	7.2072	7.52494	8.02661	8.2187	8.68037	3.59656
-0.9	3.59656	4.19717	5.04162	7.09812	6.02829	7.2072	7.52494	8.02661	8.2187	8.68037	3.59656
