0.0	-6.421	-8.301	-8.431
4.5	-0.000	-1.815	0.621
9.0	-8.364	-9.247	-10.183
13.5	-19.743	-20.390	-20.707
18.0	-30.828	-31.561	-30.702
22.6	-35.502	-29.579	-41.447
27.1	-24.502	-19.549	-30.197
31.6	-30.561	-25.269	-33.600
36.1	-29.446	-30.947	-28.859
40.6	-21.701	-24.692	-22.417
45.1	-14.476	-17.559	-13.957
49.6	-22.617	-26.373	-22.160
54.1	-33.213	-36.016	-33.006
58.6	-44.610	-38.310	-41.224
63.2	-51.702	-30.226	-31.900
67.7	-40.700	-21.851	-24.240
72.2	-46.153	-31.766	-32.844
76.7	-43.178	-35.598	-41.983
81.2	-35.474	-26.549	-47.065
85.7	-27.497	-17.842	-38.558
90.2	-35.371	-27.114	-45.698
94.7	-47.280	-37.572	-51.226
99.2	-57.184	-38.073	-44.966
103.8	-64.084	-27.847	-35.141
108.3	-51.792	-20.220	-27.979
112.8	-56.125	-27.062	-36.837
117.3	-57.994	-35.904	-41.761
121.8	-50.580	-29.011	-32.636
126.3	-43.498	-20.484	-25.540
130.8	-51.381	-29.111	-33.177
135.3	-63.159	-39.687	-43.755
139.8	-72.613	-37.754	-53.333
144.4	-88.119	-26.984	-56.400
148.9	-81.471	-19.925	-49.358
153.4	-77.675	-28.743	-57.896
157.9	-71.228	-35.918	-55.644
162.4	-62.785	-29.366	-47.318
166.9	-55.019	-18.887	-38.545
171.4	-63.597	-27.345	-46.422
175.9	-74.212	-38.206	-52.298
180.5	-85.869	-40.292	-45.685
185.0	-82.799	-29.606	-36.315
189.5	-73.246	-22.018	-29.060
194.0	-80.851	-33.989	-37.279
198.5	-87.105	-37.278	-44.984
203.0	-82.945	-28.847	-36.969
207.5	-77.191	-21.128	-28.530
212.0	-85.196	-28.343	-39.279
216.5	-96.161	-40.413	-48.373
221.1	-101.329	-43.608	-43.151
225.6	-98.603	-33.436	-34.270
230.1	-87.715	-26.563	-25.884
234.6	-98.755	-35.112	-34.827
239.1	-95.198	-41.560	-41.389
243.6	-85.775	-33.393	-34.162
248.1	-78.044	-25.370	-25.942
252.6	-87.099	-33.025	-33.794
257.1	-97.261	-44.543	-44.042
261.7	-107.719	-53.066	-48.655
266.2	-99.658	-50.306	-38.817
270.7	-90.030	-41.288	-30.969
275.2	-99.542	-50.916	-40.233
279.7	-108.631	-53.127	-45.517
284.2	-103.905	-44.212	-36.576
288.7	-95.171	-36.149	-28.123
293.2	-103.560	-43.047	-36.358
297.7	-114.007	-51.475	-46.800
302.3	-117.442	-46.945	-51.756
306.8	-108.747	-37.328	-44.295
311.3	-99.798	-29.589	-36.887
315.8	-109.383	-38.014	-45.198
320.3	-112.259	-46.515	-55.807
324.8	-106.170	-39.394	-52.891
329.3	-96.064	-30.690	-43.679
333.8	-104.506	-39.701	-53.584
338.3	-115.870	-47.589	-53.348
342.9	-123.708	-40.963	-43.989
347.4	-113.610	-30.586	-33.974
351.9	-106.790	-21.329	-26.514
356.4	-115.892	-31.389	-35.620
360.9	-121.472	-39.425	-42.947
365.4	-113.236	-31.897	-34.288
369.9	-106.356	-23.588	-25.338
374.4	-114.506	-31.918	-35.360
378.9	-125.993	-42.644	-45.859
383.5	-130.927	-38.541	-44.715
388.0	-121.709	-28.014	-33.903
392.5	-113.080	-20.393	-26.877
397.0	-123.000	-29.779	-35.908
401.5	-128.680	-36.457	-42.065
406.0	-121.572	-28.721	-33.831
410.5	-112.614	-19.773	-26.025
415.0	-120.492	-28.924	-33.749
419.5	-131.353	-39.745	-44.653
424.1	-138.206	-37.562	-52.427
428.6	-129.187	-27.118	-45.916
433.1	-120.823	-19.341	-38.633
437.6	-130.818	-29.382	-47.819
442.1	-136.350	-35.891	-49.471
446.6	-128.149	-26.361	-40.053
451.1	-120.165	-19.380	-33.296
455.6	-128.631	-27.294	-41.801
460.2	-140.124	-38.614	-49.715
464.7	-144.981	-38.575	-47.462
469.2	-136.533	-27.961	-39.397
473.7	-128.503	-21.029	-30.126
478.2	-137.326	-28.982	-38.431
482.7	-143.793	-36.332	-47.351
487.2	-134.191	-27.930	-40.613
491.7	-127.309	-20.086	-31.851
496.2	-134.886	-27.734	-40.787
500.8	-146.418	-39.546	-50.578
505.3	-152.539	-41.242	-43.866
509.8	-143.957	-30.798	-33.395
514.3	-134.548	-22.337	-25.907
518.8	-144.588	-31.996	-34.610
523.3	-151.294	-38.266	-42.039
527.8	-141.494	-30.504	-33.740
532.3	-134.223	-21.943	-25.786
536.8	-143.246	-29.736	-33.317
541.4	-153.206	-40.935	-44.971
545.9	-160.515	-44.388	-45.391
550.4	-152.788	-35.669	-34.841
554.9	-143.784	-27.423	-27.116
559.4	-152.972	-35.069	-36.405
563.9	-159.525	-43.390	-43.362
568.4	-151.776	-35.987	-35.921
572.9	-142.751	-27.286	-28.267
577.4	-150.445	-35.053	-35.678
582.0	-161.054	-44.489	-44.645
586.5	-164.690	-46.670	-38.084
591.0	-156.306	-37.818	-30.508
595.5	-149.321	-30.698	-24.691
600.0	-156.464	-37.239	-31.517
